Centro Poblado,Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,C_Aerodromo,C_Regional,C_Nacional,C_Internacional
GUAQUIRA,True,PAIPA JUAN JOSE RONDON,17.8164532823265,ALBERTO LLERAS CAMARGO,10.608617608625,EL ALCARAVAN,79.6636039861061,PALONEGRO,153.35494743165,True,True,False,False
SANTANA,True,ORITO,35.366872920908996,CANANGUCHAL,42.905672801870104,TRES DE MAYO,12.352992561336,BENITO SALAS,297.651195823431,True,False,True,False
NUEVO COLÓN,True,EL TRIANGULO,31.066109596620198,LAS BRUJAS,205.10255910408,ALFONSO LOPEZ PUMAREJO,55.038919776464205,SIMON BOLIVAR,97.7322905815524,True,False,False,False
OICATÁ,True,GUSTAVO ROJAS PINILLA,7.10119043585853,ALBERTO LLERAS CAMARGO,38.5432798870507,EL ALCARAVAN,106.8094291134,EL DORADO,135.99474914864402,True,True,False,False
OTANCHE,True,MUZO,14.4022617459036,JOSE CELESTINO,92.18935461420031,YARIGUIES,157.512733644231,EL DORADO,106.35100581909,True,False,False,False
PIZARRA,True,FURATENA,22.465279346268503,MORELA,84.4061265206318,YARIGUIES,150.672093972067,EL DORADO,114.378906922968,True,False,False,False
SAN JOSÉ DE NAZARETH,True,MUZO,29.238388941792497,MORELA,79.1729764385227,YARIGUIES,139.329360782533,EL DORADO,123.290399036246,True,False,False,False
PACHAVITA,False,GUSTAVO ROJAS PINILLA,45.1047965376424,ALBERTO LLERAS CAMARGO,76.1178040127395,VANGUARDIA,110.70641679696301,EL DORADO,96.32605386111379,False,False,False,False
PÁEZ,True,CIENAGA,26.6812033496318,ALBERTO LLERAS CAMARGO,65.3073513684351,EL ALCARAVAN,78.2692437147517,EL DORADO,128.713222232093,True,False,False,False
LA URURIA,True,CIENAGA,27.658669399092396,ALBERTO LLERAS CAMARGO,70.90496854462,EL ALCARAVAN,75.4482724146728,EL DORADO,131.970842004655,True,False,False,False
SIRASÍ,True,CIENAGA,14.8835561265276,ALBERTO LLERAS CAMARGO,57.06786916270929,EL ALCARAVAN,67.4154669737429,EL DORADO,139.853429726973,True,False,False,False
PAIPA,True,PAIPA JUAN JOSE RONDON,2.19393029435305,ALBERTO LLERAS CAMARGO,20.021347277401,EL ALCARAVAN,96.0197694831302,PALONEGRO,149.988125250151,True,True,False,False
PANTANO DE VARGAS,True,PAIPA JUAN JOSE RONDON,4.7384052269247094,ALBERTO LLERAS CAMARGO,13.2025416439559,EL ALCARAVAN,89.23144584706101,PALONEGRO,154.807453400639,True,True,False,False
PAJARITO,True,EL ALGARROBO,23.476203394467102,LAS BRUJAS,60.74769168552611,LOS GARZONES,52.542668686522894,RAFAEL NUÑEZ,184.580451810129,True,False,False,False
CORINTO,True,INGENIO INCAUCA (C.A),13.2626399812827,FARFAN HERIBERTO GIL MAR,102.459605334965,GUILLERMO LEON VALENCIA,88.89086824234329,ALFONSO BONILLA ARAGON,43.1823072417869,True,False,False,False
CURISÍ,True,EL RECREO,14.0580736087764,ALBERTO LLERAS CAMARGO,45.390027851153,EL ALCARAVAN,34.636421451457,EL DORADO,177.793257972854,True,False,True,False
PANQUEBA,True,EL ESPINO,7.110597530401269,GUSTAVO VARGAS,77.2498236019142,EL ALCARAVAN,125.255373620951,PALONEGRO,110.335915764774,True,False,False,False
PAUNA,True,MUZO,19.1907214475869,MORELA,101.328294509744,YARIGUIES,153.301394863605,EL DORADO,107.775847403223,True,False,False,False
PAYA,True,ARAGUANEY,28.2008334890725,ALBERTO LLERAS CAMARGO,60.6835715844189,EL ALCARAVAN,34.3724961800371,PALONEGRO,186.857409454608,True,False,True,False
MORCOTE,True,LA NEVERA,23.0121557113199,ALBERTO LLERAS CAMARGO,74.0312446178427,EL ALCARAVAN,35.8030282494241,PALONEGRO,192.781746466175,True,False,True,False
PAZ DE RÍO,False,PAIPA JUAN JOSE RONDON,46.601488991229104,ALBERTO LLERAS CAMARGO,42.3418053087725,EL ALCARAVAN,84.5986346970044,PALONEGRO,135.478662719527,False,False,False,False
PAZ VIEJA,False,PAIPA JUAN JOSE RONDON,49.3208074163438,ALBERTO LLERAS CAMARGO,45.9834501372462,EL ALCARAVAN,87.87026166183071,PALONEGRO,131.95481531064698,False,False,False,False
PESCA,True,PAIPA JUAN JOSE RONDON,23.6521449608003,ALBERTO LLERAS CAMARGO,15.866710515318598,EL ALCARAVAN,78.4628036013025,EL DORADO,154.328058072341,True,True,False,False
PISBA,False,ARAGUANEY,40.892342456493296,ALBERTO LLERAS CAMARGO,53.7706073961794,EL ALCARAVAN,46.152590247900896,PALONEGRO,174.245038742949,False,False,False,False
PUERTO BOYACÁ,True,PUERTO PERALES,2.31579460382582,MORELA,57.0670832259416,OLAYA HERRERA,114.062995389823,JOSE M. CORDOVA,94.62896216675578,True,False,False,False
GUANEGRO,True,PUERTO PERALES,26.5213694641545,MORELA,76.052806808305,OLAYA HERRERA,133.23333710463,JOSE M. CORDOVA,113.74371641180201,True,False,False,False
PUERTO GUTIÉRREZ,True,EL TRIUNFO,20.1530695018344,JOSE CELESTINO,66.0199785068406,OLAYA HERRERA,116.169503445551,JOSE M. CORDOVA,96.85682813979429,True,False,False,False
CRUCE PALAGUA,True,PUERTO PERALES,12.7123493731192,MORELA,42.998806519801505,OLAYA HERRERA,120.96996406657,JOSE M. CORDOVA,101.91075474987801,True,False,False,False
PUERTO SERVIEZ,True,PUERTO NARE,3.1248056244632,MORELA,31.4529610467619,OLAYA HERRERA,113.399109414023,JOSE M. CORDOVA,95.11461720550709,True,True,False,False
KILÓMETRO DOS Y MEDIO,True,PUERTO PERALES,6.8167643415503205,MORELA,61.20980627031779,OLAYA HERRERA,117.36297615682899,JOSE M. CORDOVA,97.8691432206962,True,False,False,False
KILÓMETRO 25,True,EL TRIUNFO,21.102644260065897,JOSE CELESTINO,69.4670531814009,OLAYA HERRERA,119.537979383004,JOSE M. CORDOVA,100.142378102831,True,False,False,False
EL MARFIL,True,PUERTO PERALES,26.869782534153398,MORELA,61.884424916983996,YARIGUIES,137.869094975485,JOSE M. CORDOVA,122.33660221561001,True,False,False,False
PUERTO PINZÓN,True,PUERTO PERALES,34.8275697039003,MORELA,46.403273428860906,YARIGUIES,117.990142155534,JOSE M. CORDOVA,128.143778367248,True,False,False,False
PUERTO ROMERO,True,PUERTO PERALES,31.251575710634498,MORELA,69.77044617240729,YARIGUIES,144.643553895569,JOSE M. CORDOVA,125.199452085911,True,False,False,False
CRUCE EL CHAPARRO,True,PUERTO PERALES,14.828636202046,MORELA,41.739882355492,OLAYA HERRERA,123.24524637081001,JOSE M. CORDOVA,104.224409636228,True,False,False,False
EL ERMITAÑO,True,PUERTO NARE,13.590047308958301,MORELA,34.6980154646021,YARIGUIES,121.92330025400801,JOSE M. CORDOVA,104.233226902218,True,True,False,False
