,NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha,Flag
258,ALTO PINO,660786800.0,70303.0,2015_07,0
259,ALTO PINO,680563600.0,73017.0,2015_08,0
260,ALTO PINO,577708200.0,63301.0,2015_09,0
261,ALTO PINO,647896600.0,70941.0,2015_10,0
262,ALTO PINO,613582200.0,68153.0,2015_11,0
263,ALTO PINO,763583800.0,86405.0,2015_12,0
264,ALTO PINO,711399300.0,78230.0,2016_01,0
265,ALTO PINO,658404800.0,68291.0,2016_02,0
266,ALTO PINO,742849600.0,77989.0,2016_03,0
267,ALTO PINO,700097200.0,71805.0,2016_04,0
268,ALTO PINO,840477200.0,83063.0,2016_05,0
269,ALTO PINO,775326500.0,77763.0,2016_06,0
270,ALTO PINO,779730000.0,79065.0,2016_07,0
271,ALTO PINO,764325800.0,75793.0,2016_08,0
272,ALTO PINO,729998300.0,74170.0,2016_09,0
273,ALTO PINO,772537000.0,78084.0,2016_10,0
274,ALTO PINO,821051400.0,83090.0,2016_11,0
275,ALTO PINO,938535100.0,96055.0,2016_12,0
276,ALTO PINO,854625100.0,85047.0,2017_01,0
277,ALTO PINO,787179300.0,75379.0,2017_02,0
278,ALTO PINO,909125900.0,86621.0,2017_03,0
279,ALTO PINO,855524700.0,83183.0,2017_04,0
280,ALTO PINO,1032711600.0,95446.0,2017_05,0
281,ALTO PINO,936704200.0,87838.0,2017_06,0
282,ALTO PINO,1037302800.0,94486.0,2017_07,0
283,ALTO PINO,1027317400.0,94905.0,2017_08,0
284,ALTO PINO,949416200.0,92692.0,2017_09,0
285,ALTO PINO,1011560700.0,95249.0,2017_10,0
286,ALTO PINO,905728600.0,89632.0,2017_11,0
287,ALTO PINO,1116498900.0,111334.0,2017_12,0
288,ALTO PINO,1040235000.0,181820.0,2018_01,0
289,ALTO PINO,901487100.0,130604.0,2018_02,0
290,ALTO PINO,1047426700.0,154935.0,2018_03,0
291,ALTO PINO,999982600.0,143557.0,2018_04,0
292,ALTO PINO,994672300.0,145362.0,2018_05,0
293,ALTO PINO,958756300.0,149184.0,2018_06,0
294,ALTO PINO,1015934600.0,156102.0,2018_07,0
295,ALTO PINO,991399700.0,153731.0,2018_08,0
296,ALTO PINO,961139300.0,140036.0,2018_09,0
297,ALTO PINO,952158600.0,149186.0,2018_10,0
298,ALTO PINO,955777300.0,142114.0,2018_11,0
299,ALTO PINO,1225961600.0,164997.0,2018_12,0
300,ALVARADO,0.0,0.0,2014_01,0
301,ALVARADO,0.0,0.0,2014_02,0
302,ALVARADO,0.0,0.0,2014_03,0
303,ALVARADO,0.0,0.0,2014_04,0
304,ALVARADO,0.0,0.0,2014_05,0
305,ALVARADO,0.0,0.0,2014_06,0
306,ALVARADO,0.0,0.0,2014_07,0
307,ALVARADO,0.0,0.0,2014_08,0
308,ALVARADO,0.0,0.0,2014_09,0
309,ALVARADO,0.0,0.0,2014_10,0
310,ALVARADO,0.0,0.0,2014_11,0
311,ALVARADO,0.0,0.0,2014_12,0
312,ALVARADO,0.0,0.0,2015_01,0
313,ALVARADO,0.0,0.0,2015_02,0
314,ALVARADO,0.0,0.0,2015_03,0
315,ALVARADO,0.0,0.0,2015_04,0
316,ALVARADO,0.0,0.0,2015_05,0
317,ALVARADO,0.0,0.0,2015_06,0
318,ALVARADO,0.0,0.0,2015_07,0
319,ALVARADO,430320000.0,46315.0,2015_08,0
320,ALVARADO,1282064400.0,140413.0,2015_09,0
321,ALVARADO,1392954400.0,153003.0,2015_10,0
322,ALVARADO,1370377100.0,149432.0,2015_11,0
323,ALVARADO,1584199700.0,178671.0,2015_12,0
324,ALVARADO,1659429200.0,181869.0,2016_01,0
325,ALVARADO,1320767100.0,132747.0,2016_02,0
326,ALVARADO,1451902800.0,154115.0,2016_03,0
327,ALVARADO,1400596000.0,142040.0,2016_04,0
328,ALVARADO,1410749500.0,147430.0,2016_05,0
329,ALVARADO,1422936500.0,149079.0,2016_06,0
330,ALVARADO,1408058500.0,154976.0,2016_07,0
331,ALVARADO,1510539700.0,156819.0,2016_08,0
332,ALVARADO,1471005900.0,144321.0,2016_09,0
333,ALVARADO,1936345000.0,155354.0,2016_10,0
334,ALVARADO,1873130100.0,149700.0,2016_11,0
335,ALVARADO,2102307900.0,174197.0,2016_12,1
336,ALVARADO,2227833900.0,184419.0,2017_01,1
337,ALVARADO,1769182500.0,131897.0,2017_02,0
338,ALVARADO,1974480000.0,146168.0,2017_03,0
339,ALVARADO,1963204300.0,152568.0,2017_04,0
340,ALVARADO,1979664050.0,149255.0,2017_05,0
341,ALVARADO,2040760100.0,152981.0,2017_06,1
342,ALVARADO,2100175750.0,159201.0,2017_07,1
343,ALVARADO,2070701600.0,157837.0,2017_08,1
344,ALVARADO,1922039100.0,143663.0,2017_09,0
345,ALVARADO,2012781000.0,152998.0,2017_10,1
346,ALVARADO,1975753550.0,149614.0,2017_11,0
347,ALVARADO,2192795200.0,174256.0,2017_12,1
348,ALVARADO,2323889900.0,248671.0,2018_01,1
349,ALVARADO,1796297350.0,187535.0,2018_02,0
350,ALVARADO,2084340600.0,231634.0,2018_03,1
351,ALVARADO,1961084950.0,204391.0,2018_04,0
352,ALVARADO,2001270000.0,136455.0,2018_05,1
353,ALVARADO,2051161800.0,172753.0,2018_06,1
354,ALVARADO,2109909700.0,201723.0,2018_07,1
355,ALVARADO,2109416500.0,214975.0,2018_08,1
356,ALVARADO,1978283100.0,199674.0,2018_09,0
357,ALVARADO,2077298650.0,209782.0,2018_10,1
358,ALVARADO,1962879400.0,213607.0,2018_11,0
359,ALVARADO,2167650700.0,256115.0,2018_12,1
360,AMAGA,0.0,0.0,2014_01,0
361,AMAGA,0.0,0.0,2014_02,0
362,AMAGA,0.0,0.0,2014_03,0
363,AMAGA,0.0,0.0,2014_04,0
364,AMAGA,0.0,0.0,2014_05,0
365,AMAGA,0.0,0.0,2014_06,0
366,AMAGA,0.0,0.0,2014_07,0
367,AMAGA,0.0,0.0,2014_08,0
368,AMAGA,0.0,0.0,2014_09,0
369,AMAGA,0.0,0.0,2014_10,0
370,AMAGA,1351948900.0,189798.0,2014_11,0
371,AMAGA,1582020700.0,223965.0,2014_12,0
372,AMAGA,1522259300.0,212893.0,2015_01,0
373,AMAGA,1224401900.0,164706.0,2015_02,0
374,AMAGA,1412592500.0,192225.0,2015_03,0
375,AMAGA,1374062000.0,185774.0,2015_04,0
376,AMAGA,1545062000.0,206903.0,2015_05,0
377,AMAGA,1584246600.0,214948.0,2015_06,0
378,AMAGA,1477023900.0,197441.0,2015_07,0
379,AMAGA,1533025650.0,206254.0,2015_08,0
380,AMAGA,1443723200.0,189184.0,2015_09,0
381,AMAGA,1606358050.0,213292.0,2015_10,0
382,AMAGA,1388381100.0,184674.0,2015_11,0
383,AMAGA,1713478100.0,233810.0,2015_12,0
384,AMAGA,1723802500.0,226676.0,2016_01,0
385,AMAGA,1559518400.0,188467.0,2016_02,0
386,AMAGA,1842971250.0,226552.0,2016_03,0
387,AMAGA,1633986600.0,196195.0,2016_04,0
