codigo,nombre,departamento,tipo
EJU_O,EL JUNCAL,Huila,aero_origen
ELA_O,EL CHARCO,Nariño,aero_origen
ELB_O,LAS FLORES,Magdalena,aero_origen
ELC_O,EL CAIRO,Meta,aero_origen
ELH_O,EL LIMONAR,Huila,aero_origen
ELM_O,EL MARNE,Santander,aero_origen
ELO_O,EL RODEO,Casanare,aero_origen
ELS_O,COMUNEROS,Santander,aero_origen
EOH_O,OLAYA HERRERA,Antioquia,aero_origen
EPR_O,EL PARAISO,Tolima,aero_origen
EPY_O,CAYTA,Cesar,aero_origen
ESP_O,ASTA,Tolima,aero_origen
ETO_O,EL TORNILLO,Santander,aero_origen
EVC_O,EL VIGIA,Casanare,aero_origen
EYP_O,EL ALCARAVAN,Casanare,aero_origen
FCA_O,FASCA,Casanare,aero_origen
FDA_O,FUNDACION,Magdalena,aero_origen
FLA_O,GUSTAVO ARTUNDUAGA PAREDES,Caquetá,aero_origen
FOO_O,LA LUNA,Meta,aero_origen
FRO_O,FRONTINO EL PLATEADO,Antioquia,aero_origen
FUL_O,SAN LUIS,Meta,aero_origen
FUO_O,MAJAGUAL,Meta,aero_origen
GAN_O,EL PROGRESO,Meta,aero_origen
GCA_O,GUACAMAYAS,Caquetá,aero_origen
GER_O,GERMANIA,Cesar,aero_origen
GIR_O,SANTIAGO VILA,Tolima,aero_origen
GLJ_O,LA JAGUA,Huila,aero_origen
GPI_O,JUAN CASIANO,Cauca,aero_origen
GRM_O,GUERIMA,Vichada,aero_origen
GRN_O,MALVINAS,Meta,aero_origen
GUE_O,LA ESTRELLA,Valle del Cauca,aero_origen
GUR_O,LA BASE FUMIVALLE,Valle del Cauca,aero_origen
GUS_O,GUSTAVO ROJAS PINILLA,Boyacá,aero_origen
GYM_O,FLAMINIO S. CAMACHO,Cundinamarca,aero_origen
HAC_O,EL TRIUNFO,Antioquia,aero_origen
HCO_O,EL CAIRO,Casanare,aero_origen
HCZ_O,HATO LA AURORA,Casanare,aero_origen
HLE_O,HATO LA ESPERANZA,Meta,aero_origen
HTC_O,EL DANUBIO,Casanare,aero_origen
HTZ_O,HATO COROZAL,Casanare,aero_origen
IBE_O,PERALES,Tolima,aero_origen
IDA_O,CESAR GAVIRIA TRUJILLO,Guainía,aero_origen
IGO_O,JAIME ORTIZ BETANCUR,Antioquia,aero_origen
IPI_O,SAN LUIS,Nariño,aero_origen
IRH_O,IRHO,Cesar,aero_origen
ISP_O,ISA,Valle del Cauca,aero_origen
ITG_O,LA PROVIDENCIA,Antioquia,aero_origen
JUR_O,JURADO,Chocó,aero_origen
LAB_O,LA  BARQUEREÑA,Casanare,aero_origen
LAC_O,LA CABAÑA,Meta,aero_origen
LAH_O,LA CAMPECHANA,Casanare,aero_origen
LAL_O,CRAVO SUR (antes la pista),Casanare,aero_origen
LAM_O,LA COLINA,Meta,aero_origen
LAO_O,LOS ALMENDROS,Antioquia,aero_origen
LAP_O,LA CARPETA,Casanare,aero_origen
LAR_O,LA ARROBLEDA,Cauca,aero_origen
LAU_O,LAS JUANAS,Meta,aero_origen
LAV_O,LA VICTORIA,Cesar,aero_origen
LCH_O,VIRGILIO BARCO VARGAS,Amazonas,aero_origen
LCI_O,LA CACICA,Cesar,aero_origen
LCM_O,LA CANDELARIA,Meta,aero_origen
LCT_O,LETICIA,Tolima,aero_origen
LEM_O,LA ESMERALDA,Meta,aero_origen
LET_O,ALFREDO VASQUEZ COBO,Amazonas,aero_origen
LEV_O,LA GAVIOTA,Vichada,aero_origen
LFL_O,LAS FLORES,Cesar,aero_origen
LGA_O,LAS GARZAS,Tolima,aero_origen
LGL_O,BELLA CRUZ -SAN JUAN,Cesar,aero_origen
LGM_O,LA GAVIOTA MA,Magdalena,aero_origen
LGP_O,LAGUNA PAVON,Guaviare,aero_origen
LGT_O,LAS GAVIOTAS,Meta,aero_origen
LHC_O,LOS HALCONES,Meta,aero_origen
LJB_O,EL BORREGO,Cesar,aero_origen
LJC_O,LA JAGUA DE IBIRICO,Cesar,aero_origen
LJD_O,CERRO DE PIEDRA,Cesar,aero_origen
LJI_O,NUEVA GRANADA,Cesar,aero_origen
LJV_O,LA JAULA,Vichada,aero_origen
LLI_O,LAS DELICIAS,Casanare,aero_origen
LLM_O,LOMA LINDA,Meta,aero_origen
LLO_O,CALENTURITAS,Casanare,aero_origen
LMA_O,JORGE ISAACS (LA MINA),La Guajira,aero_origen
LMC_O,LA MACARENA,Meta,aero_origen
LML_O,LAS MALVINAS,Meta,aero_origen
LMN_O,LOS MULATOS,Nariño,aero_origen
LMR_O,LOS MORROS,Sucre,aero_origen
LOC_O,LOPEZ DE MICAI,Cauca,aero_origen
LOM_O,LOS MILAGROS,Casanare,aero_origen
LPD_O,LA PEDRERA,Amazonas,aero_origen
LPG_O,EL GAVILAN,Vichada,aero_origen
LPL_O,LOS PLANES,Antioquia,aero_origen
LPR_O,EL CIMARRON,Vichada,aero_origen
LPS_O,LA PONDEROSA,Santander,aero_origen
LPV_O,RANCHO ALEGRE,Vichada,aero_origen
LQM_O,CAUCAYA,Putumayo,aero_origen
LRA_O,SAN JOSE,Tolima,aero_origen
LTA_O,LAS TAPIAS,Cesar,aero_origen
LTB_O,LAS GAVIOTAS,Quindío,aero_origen
LVB_O,LA VEGA,Bolívar,aero_origen
MAG_O,MANAURE,La Guajira,aero_origen
MAI_O,CAMPO ESTERO,Casanare,aero_origen
MAN_O,CASANARE,Casanare,aero_origen
MAP_O,MAPIRIPAN,Meta,aero_origen
MBO_O,MONTERREY,Bolívar,aero_origen
MBQ_O,BOCOA QUERARI,Vaupés,aero_origen
MCG_O,MORICHAL,Vaupés,aero_origen
MCH_O,MOCHUELO,Arauca,aero_origen
MCJ_O,MAICAO,La Guajira,aero_origen
MCL_O,CAÑO COLORADO,Vaupés,aero_origen
MCO_O,MACOCOBA,Vichada,aero_origen
MCP_O,CACHIPORRO,Vaupés,aero_origen
MDA_O,INGENIO INCAUCA (C.A),Cauca,aero_origen
MDE_O,JOSE M. CORDOVA,Antioquia,aero_origen
MDR_O,PIEDRA ÑI,Vaupés,aero_origen
MED_O,MEDINA,Cundinamarca,aero_origen
MFR_O,MONFORT,Vaupés,aero_origen
MFS_O,MIRAFLORES,Guaviare,aero_origen
MGN_O,BARACOA,Bolívar,aero_origen
MGO_O,SAN GERARDO,Vaupés,aero_origen
MGP_O,MAGUI PAYAN,Nariño,aero_origen
MGU_O,SAN MIGUEL,Vaupés,aero_origen
MIB_O,BELEN DE INAMBU,Vaupés,aero_origen
MIC_O,IBACABA,Vaupés,aero_origen
MII_O,MANI,Casanare,aero_origen
MIS_O,SANTA ISABEL,Vaupés,aero_origen
MIT_O,WACARICUARA,Vaupés,aero_origen
MKA_O,KAMANAOS,Vaupés,aero_origen
MLG_O,JERONIMO DE AGUAYO,Santander,aero_origen
MLR_O,TOLEMAIDA,Tolima,aero_origen
MMP_O,SAN BERNARDO,Bolívar,aero_origen
MNI_O,YARUMITOS,Casanare,aero_origen
MNO_O,LA GLORIA,Casanare,aero_origen
MPI_O,PIRACUARA,Vaupés,aero_origen
MPU_O,PACU,Vaupés,aero_origen
MQU_O,JOSE CELESTINO,Tolima,aero_origen
MRF_O,LAGOS DEL DORADO,Guaviare,aero_origen
MRI_O,MURINDO,Antioquia,aero_origen
MSA_O,SAN ANTONIO,Vaupés,aero_origen
MSI_O,SANTA LUCIA,Vaupés,aero_origen
MSN_O,SAN PABLO,Vaupés,aero_origen
MSO_O,SONAÑA,Vaupés,aero_origen
MSR_O,SANTA RITA,Vaupés,aero_origen
MTA_O,MUTATA,Antioquia,aero_origen
MTB_O,EL PINDO,Córdoba,aero_origen
MTC_O,PAPUNAGUA - PUERTO. SOLANO,Vaupés,aero_origen
