NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha
ALBARRACIN,3441440200.0,411188.0,2016_01
ALBARRACIN,2654732550.0,280997.0,2016_02
ALBARRACIN,3333470000.0,377069.0,2016_03
ALBARRACIN,2660926350.0,283988.0,2016_04
ALBARRACIN,3043249950.0,339126.0,2016_05
ALBARRACIN,2723498700.0,314921.0,2016_06
ALBARRACIN,2450402650.0,299591.0,2016_07
ALBARRACIN,3211851900.0,350355.0,2016_08
ALBARRACIN,2830068250.0,305016.0,2016_09
ALBARRACIN,3183902950.0,354488.0,2016_10
ALBARRACIN,3024431200.0,337603.0,2016_11
ALBARRACIN,4008517050.0,469466.0,2016_12
ALBARRACIN,3734202700.0,429518.0,2017_01
ALBARRACIN,2916730050.0,290764.0,2017_02
ALBARRACIN,3195804850.0,326996.0,2017_03
ALBARRACIN,3457976700.0,376121.0,2017_04
ALBARRACIN,3253392850.0,335898.0,2017_05
ALBARRACIN,3329043050.0,354376.0,2017_06
ALBARRACIN,3521676000.0,377207.0,2017_07
ALBARRACIN,3519567750.0,369778.0,2017_08
ALBARRACIN,3066443050.0,308679.0,2017_09
ALBARRACIN,3508570350.0,363751.0,2017_10
ALBARRACIN,3390989350.0,351327.0,2017_11
ALBARRACIN,4621163150.0,517453.0,2017_12
ALBARRACIN,4166305550.0,117298.0,2018_01
ALBARRACIN,3050097750.0,84119.0,2018_02
ALBARRACIN,3795024050.0,102185.0,2018_03
ALBARRACIN,3276038050.0,87193.0,2018_04
ALBARRACIN,3402289100.0,91424.0,2018_05
ALBARRACIN,3752587200.0,91598.0,2018_06
ALBARRACIN,3915513800.0,94288.0,2018_07
ALBARRACIN,3957627650.0,91648.0,2018_08
ALBARRACIN,3556600750.0,89153.0,2018_09
ALBARRACIN,3947597000.0,98941.0,2018_10
ALBARRACIN,3906217550.0,98799.0,2018_11
ALBARRACIN,5244128600.0,114978.0,2018_12
ALTAMIRA,0.0,0.0,2014_01
ALTAMIRA,0.0,0.0,2014_02
ALTAMIRA,0.0,0.0,2014_03
ALTAMIRA,0.0,0.0,2014_04
ALTAMIRA,0.0,0.0,2014_05
ALTAMIRA,0.0,0.0,2014_06
ALTAMIRA,0.0,0.0,2014_07
ALTAMIRA,0.0,0.0,2014_08
ALTAMIRA,0.0,0.0,2014_09
ALTAMIRA,0.0,0.0,2014_10
ALTAMIRA,0.0,0.0,2014_11
ALTAMIRA,0.0,0.0,2014_12
ALTAMIRA,0.0,0.0,2015_01
ALTAMIRA,0.0,0.0,2015_02
ALTAMIRA,0.0,0.0,2015_03
ALTAMIRA,0.0,0.0,2015_04
ALTAMIRA,0.0,0.0,2015_05
ALTAMIRA,0.0,0.0,2015_06
ALTAMIRA,0.0,0.0,2015_07
ALTAMIRA,0.0,0.0,2015_08
ALTAMIRA,197648700.0,24493.0,2015_09
ALTAMIRA,779824200.0,98310.0,2015_10
ALTAMIRA,781302100.0,97323.0,2015_11
ALTAMIRA,912382100.0,115648.0,2015_12
ALTAMIRA,897229200.0,111120.0,2016_01
ALTAMIRA,727568200.0,84031.0,2016_02
