,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
181,ELA,ECR,EL CHARCO,El Charco,Nariño,Aeródromo,2.4408,-78.1,MUNICIPIO,MUNICIPIO,800.0,12.0,6400.0,,32.0,"  737,000",,,1A,Público,1419.0,52,52250
182,ELB,ELB,LAS FLORES,El Banco,Magdalena,Aeródromo,9.0428,-73.9715,AEROCIVIL,AEROCIVIL,1225.0,28.0,19045.0,,110.0," 1374,000",1978-04-06,,3B,Aerocivil,589.0,47,47245
183,ELC,,EL CAIRO,Castilla la Nueva,Meta,Aeródromo,,,,,,,,,,,,,,,2.0,50,50150
184,ELH,,EL LIMONAR,Campoalegre,Huila,Aeródromo,2.6205,-75.3624,SANIDAD VEGETAL CRUZ VERDE,SANIDAD VEGETAL CRUZ VERDE,600.0,10.0,2500.0,,1936.0," 2136,000",,,1A,Fumigación,6.0,41,41132
185,ELM,,EL MARNE,Rionegro,Santander,Aeródromo,7.4233,-73.3806,JORGE LUIS OTERO SANCHEZ,JORGE LUIS OTERO SANCHEZ,760.0,18.0,4000.0,,416.0," 4874,000",,,1A,Privado,575.0,68,68615
186,ELO,,EL RODEO,Orocué,Casanare,Aeródromo,,,,,,,,,,,,,,,49.0,85,85230
187,ELS,,COMUNEROS,Socorro,Santander,Aeródromo,6.3835,-73.2573,MUNICIPIO,MUNICIPIO,720.0,15.0,5000.0,,5250.0,"  306,000",,,1A,Público,37.0,68,68755
188,EOH,EOH,OLAYA HERRERA,Medellín,Antioquia,Nacional,6.2204,-75.5904,INVIAS,EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte),1800.0,38.0,20455.0,,4920.0," 1466,000",,,1A,Aerocivil,293591.0,5,5001
189,EPR,,EL PARAISO,Ibagué,Tolima,Aeródromo,4.387,-75.026,JOSE M. MELENDRO,CRUZ VERDE,630.0,10.0,2000.0,,2303.0," 1735,000",,,1A,Fumigación,10.0,73,73001
190,EPY,,CAYTA,El Copey,Cesar,Aeródromo,,,,,,,,,,,,,,,6.0,20,20238
