,NombreEstacionPeaje,Recaudo,Tráfico,Cod_fecha
150,SANTAGUEDA,1426173000,101415.0,2016Jul
151,SANTAGUEDA,1884098100,116768.0,2016Ago
152,SANTAGUEDA,1564136050,94668.0,2016Sep
153,SANTAGUEDA,1661897750,106737.0,2016Oct
154,SANTAGUEDA,1563744100,100826.0,2016Nov
155,SANTAGUEDA,1807995450,125486.0,2016Dic
156,SANTAGUEDA,1943588550,4413.1612903225805,2017Ene
157,SANTAGUEDA,1443673000,3076.785714285714,2017Feb
158,SANTAGUEDA,1533398800,3037.935483870968,2017Mar
159,SANTAGUEDA,1649211550,3620.133333333333,2017Abr
160,SANTAGUEDA,1429705200,2835.3548387096776,2017May
161,SANTAGUEDA,1699698200,3504.2,2017Jun
162,SANTAGUEDA,1708071700,3443.3548387096776,2017Jul
163,SANTAGUEDA,1723681450,3435.451612903226,2017Ago
164,SANTAGUEDA,1575441400,3101.733333333333,2017Sep
165,SANTAGUEDA,1675976600,3339.064516129032,2017Oct
166,SANTAGUEDA,1619146100,3273.5666666666666,2017Nov
167,SANTAGUEDA,1836401200,4001.5806451612902,2017Dic
168,SANTAGUEDA,1280487850,91233.0,2018Ene
169,SANTAGUEDA,161118900,12290.0,2018Feb
170,SANTAGUEDA,739616950,59931.0,2018Mar
171,SANTAGUEDA,1108756950,70013.0,2018Abr
172,SANTAGUEDA,950100100,58064.0,2018May
173,SANTAGUEDA,867523700,57158.0,2018Jun
174,SANTAGUEDA,1134173550,73155.0,2018Jul
175,SANTAGUEDA,1170848650,72017.0,2018Ago
176,SANTAGUEDA,1063057700,62237.0,2018Sept
177,SANTAGUEDA,1135105100,70119.0,2018Oct
178,SANTAGUEDA,1093613250,67190.0,2018Nov
179,SANTAGUEDA,1402448000,93636.0,2018Dic
180,TARAPACA I,1637781500,102351.0,2016Ene
181,TARAPACA I,1410076200,79860.0,2016Feb
182,TARAPACA I,1499270100,87081.0,2016Mar
183,TARAPACA I,1404723650,80870.0,2016Abr
184,TARAPACA I,1447546650,83168.0,2016May
185,TARAPACA I,1196914350,72835.0,2016Jun
186,TARAPACA I,1282530800,80616.0,2016Jul
187,TARAPACA I,2310237250,151346.0,2016Ago
188,TARAPACA I,2375926800,165040.0,2016Sep
189,TARAPACA I,1667083700,99615.0,2016Oct
190,TARAPACA I,1577941100,93678.0,2016Nov
191,TARAPACA I,1669372750,101941.0,2016Dic
192,TARAPACA I,1789732300,3541.1612903225805,2017Ene
193,TARAPACA I,1531048400,3039.214285714286,2017Feb
194,TARAPACA I,1576521200,2901.7419354838707,2017Mar
195,TARAPACA I,1543931150,2954.6,2017Abr
196,TARAPACA I,1512758750,2742.935483870968,2017May
197,TARAPACA I,1609667600,2946.8,2017Jun
198,TARAPACA I,1654451450,2950.7419354838707,2017Jul
199,TARAPACA I,1660976750,2940.935483870968,2017Ago
200,TARAPACA I,1570024600,2832.0666666666666,2017Sep
201,TARAPACA I,1615785800,2873.7419354838707,2017Oct
202,TARAPACA I,1550312100,2801.5,2017Nov
203,TARAPACA I,1770101450,3383.4193548387098,2017Dic
204,TARAPACA I,1549008250,96067.0,2018Ene
205,TARAPACA I,964530100,59858.0,2018Feb
206,TARAPACA I,1106480800,69606.0,2018Mar
207,TARAPACA I,1276506800,72441.0,2018Abr
208,TARAPACA I,1276728900,71817.0,2018May
209,TARAPACA I,1051015050,60035.0,2018Jun
210,TARAPACA I,1294944100,73961.0,2018Jul
211,TARAPACA I,1314480900,73372.0,2018Ago
212,TARAPACA I,1246789200,69485.0,2018Sept
213,TARAPACA I,1311233900,74292.0,2018Oct
214,TARAPACA I,1248609900,69941.0,2018Nov
215,TARAPACA I,1382736100,80484.0,2018Dic
216,TARAPACA II,3521795900,290506.0,2016Ene
217,TARAPACA II,2663009200,202772.0,2016Feb
218,TARAPACA II,3156702300,252465.0,2016Mar
219,TARAPACA II,2708495250,210482.0,2016Abr
220,TARAPACA II,2958221050,233791.0,2016May
221,TARAPACA II,2823149200,231486.0,2016Jun
222,TARAPACA II,2949938150,242645.0,2016Jul
223,TARAPACA II,2600775650,185606.0,2016Ago
224,TARAPACA II,2012433900,138327.0,2016Sep
225,TARAPACA II,3006125300,234563.0,2016Oct
226,TARAPACA II,2907604150,227970.0,2016Nov
227,TARAPACA II,3429870700,278000.0,2016Dic
228,TARAPACA II,3669685950,9326.193548387097,2017Ene
229,TARAPACA II,2655409200,6943.357142857143,2017Feb
230,TARAPACA II,2946650650,7103.096774193548,2017Mar
231,TARAPACA II,3127333550,8004.866666666667,2017Abr
232,TARAPACA II,2987355700,7244.419354838709,2017May
233,TARAPACA II,3237537600,8055.4,2017Jun
234,TARAPACA II,3329230400,8071.612903225807,2017Jul
235,TARAPACA II,3267919850,7875.225806451613,2017Ago
236,TARAPACA II,2987020400,7341.833333333333,2017Sep
237,TARAPACA II,3260987400,7879.967741935484,2017Oct
238,TARAPACA II,3260122000,8081.233333333334,2017Nov
239,TARAPACA II,3762435000,9473.032258064517,2017Dic
240,TARAPACA II,3501973950,276101.0,2018Ene
241,TARAPACA II,2137592750,170038.0,2018Feb
242,TARAPACA II,3021752850,240857.0,2018Mar
