Centro Poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
SOCAVÓN,EL CAIRANO,12.9398950039678,True,EL CAIRANO,12.9398950039678,TOLU,128.412642834337,LOS GARZONES,209.074051987763,RAFAEL NUÑEZ,37.038913653179,Internacional
MALAMBO,ERNESTO CORTISSOZ,3.77491627253461,True,URACA - CA.,23.2276794821091,TOLU,174.118750962231,ALFONSO LOPEZ PUMAREJO,173.092022041563,ERNESTO CORTISSOZ,3.77491627253461,Internacional
LA AGUADA,PAZ DE ARIPORO,13.5201197113583,True,PAZ DE ARIPORO,13.5201197113583,GUSTAVO VARGAS,66.8634369485762,EL ALCARAVAN,77.1609142981428,PALONEGRO,188.609232726322,Aeródromo
PITALITO,JOSE CELESTINO,14.5470930460691,True,GANADERIA EL TRIUNFO,28.5174658172558,JOSE CELESTINO,14.5470930460691,LA NUBIA,57.2024200524993,MATECAÑA,95.3676056213118,Regional
MANATÍ,EL ESFUERZO,4.15534798011819,True,EL ESFUERZO,4.15534798011819,TOLU,125.121486350782,ALFONSO LOPEZ PUMAREJO,186.741831602268,ERNESTO CORTISSOZ,52.6413150782957,Aeródromo
EL PORVENIR (LAS COMPUERTAS),CASTILLO - CA,8.36264614587405,True,CASTILLO - CA,8.36264614587405,TOLU,114.807617658129,LOS GARZONES,194.728841168752,RAFAEL NUÑEZ,48.2005913436663,Aeródromo
VILLA JUANA,CASTILLO - CA,12.3834767148349,True,CASTILLO - CA,12.3834767148349,TOLU,128.856393016565,ALFONSO LOPEZ PUMAREJO,192.631351280498,ERNESTO CORTISSOZ,48.108991775547,Aeródromo
PALMAR DE VARELA,ERNESTO CORTISSOZ,17.0333089619375,True,URACA - CA.,34.9376249202315,TOLU,164.179968129072,ALFONSO LOPEZ PUMAREJO,167.96331550801,ERNESTO CORTISSOZ,17.0333089619375,Internacional
BURRUSCOS,ERNESTO CORTISSOZ,24.4820791822882,True,EL ESFUERZO,32.7933014021573,TOLU,154.016379922518,ALFONSO LOPEZ PUMAREJO,174.060377352404,ERNESTO CORTISSOZ,24.4820791822882,Internacional
PIOJÓ,EL CAIRANO,17.6830751960628,True,EL CAIRANO,17.6830751960628,TOLU,147.47565783733,ALFONSO LOPEZ PUMAREJO,206.070959181687,ERNESTO CORTISSOZ,38.9280161804959,Internacional
