,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
576,MSO,,SONAÑA,Mitú,Vaupés,Aeródromo,0.1308,-70.5792,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,700.0,15.0,5000.0,,680.0," 3423,000",,,1A,Público,657.0,97,97001
577,MSR,,SANTA RITA,Mitú,Vaupés,Aeródromo,1.6528,-70.4097,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,400.0,10.0,1650.0,,700.0," 3423,000",,,1A,Público,237.0,97,97001
578,MTA,,MUTATA,Mutatá,Antioquia,Aeródromo,7.2505,-76.4442,ALCALDIA,ALCALDIA,795.0,10.0,6000.0,,397.0," 3660,000",,,1A,Público,25.0,5,5480
579,MTB,MTB,EL PINDO,Montelíbano,Córdoba,Regional,7.9733,-75.4413,AEROCIVIL,AEROCIVIL,1100.0,26.0,12202.0,,160.0," 3107,000",1981-04-08,,2C,Aerocivil,1863.0,23,23466
580,MTC,,PAPUNAGUA - PUERTO. SOLANO,Mitú,Vaupés,Aeródromo,1.9073,-70.7622,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,650.0,15.0,5000.0,,492.0," 2994,000",,,1A,Público,676.0,97,97001
581,MTI,,TIQUIE,Mitú,Vaupés,Aeródromo,0.2342,-70.1689,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,530.0,15.0,5000.0,,630.0," 3423,000",,,1A,Público,2099.0,97,97001
582,MTN,,BUENOS AIRES,Mitú,Vaupés,Aeródromo,0.0203,-71.0074,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,400.0,10.0,1650.0,,620.0,"   45,000",,,1A,Público,1142.0,97,97001
583,MTP,,MATUPA,San Martín,Meta,Aeródromo,,,,,,,,,,,,,,,1565.0,50,50689
584,MTR,MTR,LOS GARZONES,Montería,Córdoba,Nacional,8.8239,-75.8261,AEROCIVIL,EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte,1860.0,35.0,,,19.0,"  984,000",1987-02-02,,4C,Aerocivil,70624.0,23,23001
585,MTS,,TERESITA,Mitú,Vaupés,Aeródromo,0.7381,-69.4714,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,630.0,20.0,12202.0,,620.0," 3423,000",,,1A,Público,670.0,97,97001
